"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BatteryHolder_Keystone_2998_1x6.8mm";1;"Battery_Cell-device 3V";;;
2;"C1, C2, C5, C6, C9, C10, C14, C15, C16, C17, C18, C19, C22, C24, C25, C32, C37, C38, C45";"C_0805_2012Metric";19;"100nF";;;
3;"C3, C4";"C_0805_2012Metric";2;"15pF";;;
4;"C7, C23";"C_0805_2012Metric";2;"10uF";;;
5;"C8";"C_0805_2012Metric";1;"4u7";;;
6;"C11, C33, C39";"C_0805_2012Metric";3;"22uF";;;
7;"C12, C13, C29, C34";"C_0805_2012Metric";4;"47uF";;;
8;"C20, C27, C31, C44";"C_0805_2012Metric";4;"1uF";;;
9;"C21, C26, C56";"C_0805_2012Metric";3;"1nF";;;
10;"C28";"CP_Radial_D18.0mm_P7.50mm";1;"50F";;;
11;"C43";"C_0805_2012Metric";1;"470nF";;;
12;"C46";"C_0805_2012Metric";1;"47nF";;;
13;"C47";"C_0603_1608Metric";1;"1p8";;;
14;"C48";"C_0805_2012Metric";1;"47pF";;;
15;"C49";"C_0603_1608Metric";1;"2p4";;;
16;"C50, C51";"C_0603_1608Metric";2;"-";;;
17;"C52, C58, C59";"C_0603_1608Metric";3;"3p3";;;
18;"C53";"C_0603_1608Metric";1;"5p6";;;
19;"C54, C57";"C_0603_1608Metric";2;"39pF";;;
20;"C55";"C_0603_1608Metric";1;"2p2";;;
21;"D1";"LED_1206_mill";1;"HLMP-K150+FIX-LED-313";;;
22;"D2";"Diode-SMA_Standard";1;"M4";;;
23;"F1";"1812";1;"1.2A";;;
24;"FID1, FID2";"Fiducial_1mm_Mask2mm";2;"Fiducial";;;
25;"H1, H2, H3, H4";"MountingHole_3mm";4;"MountingHole_Pad";;;
26;"IC1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"CY15B108QN-40SXI";;;
27;"IC2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"FM3164-G";;;
28;"IC3";"QFN-24-1EP_4x5mm_P0.5mm_EP2.65x3.65mm";1;"LTC4041EUFD#PBF";;;
29;"J1";"Straight_2x01";1;"HEADER_2x01_PARALLEL";;;
30;"J2";"Straight_2x01";1;"HEADER_2x01";;;
31;"J3";"SMD_2x03_WO_paste";1;"HEADER_2x03";;;
32;"J4, J5, J24";"Straight_2x03";3;"HEADER_2x03_PARALLEL";;;
33;"J6";"MCC-SD";1;"MCC-SD (kouka z modulu)";;;
34;"J7, J14";"JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal";2;"Conn_01x06_Female";;;
35;"J8";"JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal";1;"Conn_01x07_Female";;;
36;"J9";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"Conn_01x04_Female";;;
37;"J10, J12";"Straight_2x05";2;"HEADER_2x05_PARALLEL";;;
38;"J11";"Straight_2x07";1;"HEADER_2x07_PARALLEL";;;
39;"J13";"Straight_2x02";1;"HEADER_2x02_PARALLEL";;;
40;"J23";"MCX";1;"MCX";;;
41;"JP1, JP2, JP3, JP4";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";4;"SolderJumper_3_Bridged12";;;
42;"L1";"SMD-1210";1;"10uH - LQH32CN100K23L";;;
43;"L2";"XAL6030181MEC";1;"XAL-6030-182 1.8 uH";;;
44;"L3, L4";"L_1008_2520Metric";2;"1uH - DFE252012P-1R0M=P2";;;
45;"L5";"L_0805_2012Metric";1;"15uH";;;
46;"L6";"L_0603_1608Metric";1;"15nH";;;
47;"L7";"L_0603_1608Metric";1;"0R";;;
48;"L8";"L_0603_1608Metric";1;"47nH";;;
49;"L9";"L_0603_1608Metric";1;"2n4";;;
50;"L10";"L_0603_1608Metric";1;"4n7";;;
51;"L11";"L_0603_1608Metric";1;"9n1";;;
52;"Q1";"SOT-23";1;"DMP2045UQ-7";;;
53;"Q2, Q3";"D_POWERDI5060-8_6.0x5.1mm_P1.27mm";2;"DMTH3002LPS";;;
54;"R1";"R_0805_2012Metric";1;"-";;;
55;"R2";"R_0805_2012Metric";1;"4k7";;;
56;"R3, R5, R6, R8, R9, R10, R11, R14, R15, R16, R17, R18, R19, R21, R46, R48";"R_0805_2012Metric";16;"10k";;;
57;"R20";"R_0805_2012Metric";1;"470R";;;
58;"R22, R29";"R_0805_2012Metric";2;"150k";;;
59;"R23, R30";"R_0805_2012Metric";2;"56k";;;
60;"R24, R25, R26, R27";"R_0805_2012Metric";4;"100";;;
61;"R28";"R_0805_2012Metric";1;"2k2";;;
62;"R31";"R_0805_2012Metric";1;"1M";;;
63;"R32, R33, R34, R39, R41";"R_0805_2012Metric";5;"100k";;;
64;"R35";"R_0805_2012Metric";1;"6.2k 1/8W";;;
65;"R36";"R_0805_2012Metric";1;"2k";;;
66;"R37";"R_0805_2012Metric";1;"25mR";;;
67;"R38";"R_0805_2012Metric";1;"523k (E96)";;;
68;"R40";"R_0805_2012Metric";1;"220k";;;
69;"R42";"R_0805_2012Metric";1;"806k";;;
70;"R43, R45";"R_0805_2012Metric";2;"91k";;;
71;"R44";"R_0805_2012Metric";1;"511k";;;
72;"R47";"R_0805_2012Metric";1;"100R";;;
73;"U1";"SOT-23";1;"ISL21080CIH320Z-TK";;;
74;"U2";"SOT-23";1;"LM4041CIM3-1.2(neosazovat)";;;
75;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATMEGA1284P-AU";;;
76;"U4";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"TXS0108EPW";;;
77;"U5";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
78;"U6";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias";1;"TPS22965-Q1";;;
79;"U7";"LGA-8_3x5mm_P1.25mm";1;"MS5611-01BA";;;
80;"U8";"SOT-23-5";1;"MIC5504-1.8YM5-TR";;;
81;"U9, U10";"SOT-583-8";2;"TPS631000DRLR";;;
82;"U11";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias";1;"SX1262";;;
83;"U12";"SOT-363_SC-70-6";1;"PE4259";;;
84;"Y2";"ABS07";1;"6pF crystal - 32.768kHz";;;
85;"Y3";"Crystal_SMD_NX2016SA";1;"32MHz";;;
86;"Y6";"Crystal SMD CFPX-180";1;"8MHz LFXTAL083138";;;
